name,lang,age,gender,direction,Belly,BelowChest,LeftChestBottom,LeftChestCenter,LeftChestTop,LeftFaceBottom,LeftFaceCenter,LeftFaceTop,LeftSide,MidChestBottom,MidChestCenter,MidChestTop,MidFaceBottom,MidFaceCenter,MidFaceTop,RightChestBottom,RightChestCenter,RightChestTop,RightFaceBottom,RightFaceCenter,RightFaceTop,RightSide,fcr
Ab07ov09_32m,NSE,2.7,Female,forward,0.024463551891296006,0.02609030629310806,0.0038224383008812752,0.014143327506869488,0.0213874409144933,0.001888467047993028,0.004817856363902189,8.764241893076249e-4,0.0189010989010989,0.018264491403369297,0.059548512493140915,0.3739239503554206,0.35437153519543524,0.048021991100168526,9.564065841702181e-4,0.0035164835164835165,0.012811050371497863,0.006486452178420826,0.003380510559252852,0.0013672432351247842,0,9.604615985655182e-4,-0.10987286852908756
Ab07ov09_32m,NSE,2.7,Female,reversed,0.004788432777563212,0.022640988693432364,1.2351778656126481e-4,0.0019133764937269977,0.01673387358968636,0.011666391346976923,0.0034852075123841166,0,2.6595744680851064e-4,0.0190290758024586,0.033214123364668544,0.1545716176409321,0.5917278938934329,0.09960092408844114,0.013422947218955915,0.002840909090909091,0.0013611415489375024,0.005653676433672239,0.011154609302072757,0,0,0.005805335968379446,0.49814217167559327
Ainsely03_27_5y_1m,NSE,5.1,Female,forward,0.009162289673276768,0.022331258228022247,0.01825843543637113,9.425619635609682e-4,0.0022748449752757554,0.022528800784174387,1.6886187098953055e-4,0,0.0019984871637295774,0.007396708905058715,0.04002920192584085,0.3146071745799224,0.45336740523213376,0.04401305274025665,0.0022027002233997776,0.0027682699813847355,0.01356212093917012,0.0067772062452913515,0.014327935328300592,0.005520484243888499,0.0013736263736263737,0.016388573186325868,0.11156980089319106
Ainsely03_27_5y_1m,NSE,5.1,Female,reversed,8.500482005086445e-4,0.005175877375951271,0.005490266626268747,0.025760179119088917,0.012364532977836256,0.008759351118652902,0.003957265101789308,0.0011149825783972128,0.003385410812633472,0.0775324901802031,0.057332706711802496,0.19856351809364967,0.47717628635078374,0.05056378548383575,8.395502100491624e-4,0.010243653794580618,0.007624605752668298,0.007020122970131229,0.006512222921855013,0.004054051242575236,0,0.03567909237673896,0.24160070609085588
al10pa24_4yrs,NSE,4,Male,forward,0.0030980964707032453,0.04152961107902944,5.061855432223784e-4,0.016086538896106756,0.042523722275414545,0.004950942254561069,1.4727540500736373e-4,0,0.001360544217687075,0.046819680093592914,0.05772911600805631,0.5974497405893126,0.17386913318061575,0.001080367905123149,0,7.681780494870489e-4,0.0014484501583305863,0.003949853981465878,0.003535930789703717,3.1466331025802394e-4,0.0028319697923222154,0,-0.6187152936835859
al10pa24_4yrs,NSE,4,Male,reversed,0.03672478168878136,0.05015223534082033,0,0.0033641628129817106,0.027757218078032928,0.003315791111506536,0,0,1.6534391534391533e-4,0.04515770948429249,0.046493941311715456,0.5334746580480979,0.23707074446343573,9.230041668329803e-4,6.03864734299517e-4,0.005525116544653799,1.7780938833570413e-4,5.067675070220733e-4,4.5344619105199517e-4,1.5114873035066505e-4,0,0.007982256482444867,-0.5041290186671396
Allan_SE_3.5y,SE,3.5,Male,forward,9.371567209312723e-4,0.012158235636580542,0,0.01287993784412989,0.0033483225734223985,0,0,0,0.0023241853345206055,0.012646821804244644,0.017452689722168176,0.33926231223172554,0.5706717410737351,0.016337327936299044,0,0.003012712282350757,0.0012978269096198603,0.0014475982870570353,0.002719233242667258,7.36110280286867e-4,0,0.002767788120261007,0.2086548313100037
Allan_SE_3.5y,SE,3.5,Male,reversed,0.0029066761888774436,0.013284306682968806,0,0.00359304084720121,0,5.208333333333334e-4,1.63826998689384e-4,0,0,0.025702355747267643,0.010674316800520415,0.41254431687637777,0.5030616548645755,8.444154077681261e-4,0,0.008599996621978983,2.244165170556553e-4,0.01649665281587485,6.732495511669659e-4,0,1.8910741301059e-4,5.208333333333334e-4,0.04513986448481714
Annika_3_24_10_CODA,SE,6,Female,forward,1.7806267806267804e-4,0.006390103553412144,1.7806267806267804e-4,7.288629737609329e-4,5.466472303206997e-4,0,0,0,0.002161670529017468,0.009425121620625029,0.05843302840671231,0.34636085295851593,0.5380886948520176,0.00806904924019869,0,0.004830917874396136,0.008127608906158918,0.009239968732809037,0.002675093236317726,0.003522964509394572,0,0.0010432900202175263,0.1249696184869457
Annika_3_24_10_CODA,SE,6,Female,reversed,3.907776475185619e-4,3.907776475185619e-4,0,0.032287298292000555,0.005324840503817288,1.4947683109118088e-4,4.88779022850547e-4,1.8982536066818525e-4,2.9895366218236175e-4,0.055537643943162435,0.032397130312201476,0.273904600387035,0.40803567519935463,0.006081668114682884,0,0.10942819379823436,0.029669981077448886,0.033534189124758806,0.005606664600214684,1.4947683109118088e-4,2.896032435563278e-4,0.005844444400612057,-0.031337444777506974
